Hmax_(One),AUW
11320.0,6300.0
15800.0,5990.0
7250.0,4600.0
18600.0,4500.0
23000.0,4000.0
20700.0,2900.0
13300.0,3800.0
16700.0,3300.0
13000.0,3300.0
17300.0,3200.0
20100.0,2550.0
21200.0,2550.0
13300.0,2200.0
15300.0,1500.0
6400.0,5200.0
6600.0,4000.0
7100.0,3600.0
21200.0,2550.0
14500.0,3400.0
16891.39661884128,1320.0
1400.0,2400.0
16800.0,2100.0
16000.0,1710.0
16400.0,2150.0
18000.0,1750.0
18000.0,1500.0
18000.0,1500.0
7500.0,2599.0
25000.0,3849.0
21310.0,11200.0
24850.0,10325.0
18140.0,10700.0
19600.0,10325.0
19700.0,10250.0
21050.0,10325.0
11000.0,7500.0
10600.0,6947.0
12400.0,9000.0
10500.0,9400.0
11000.0,9400.0
11000.0,9400.0
11500.0,8500.0
11500.0,8500.0
11500.0,8500.0
12700.0,8000.0
11500.0,7500.0
11000.0,7000.0
9800.0,7500.0
9500.0,6500.0
9750.0,6000.0
9500.0,6000.0
9250.0,6000.0
6500.0,6750.0
8000.0,6750.0
8500.0,6750.0
7850.0,6250.0
7150.0,6000.0
8500.0,5500.0
22000.0,1817.0
22000.0,1817.0
